Longitude (degrees),Latitude (degrees),Altitude (feet),UTC time,True airspeed (m s-1),Mach Number,Aircraft mass (kg),Fuel mass flow rate (kg s-1),Overall propulsion efficiency,nvPM number emissions index (kg-1),ICAO Aircraft Type,Wingspan (m),Altitude (m),time
-10.07,55.185,36000,1672531200,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:00:00
-10.273,55.222,36000,1672531260,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:01:00
-10.476,55.258,36000,1672531320,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:02:00
-10.68,55.295,36000,1672531380,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:03:00
-10.883,55.331,36000,1672531440,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:04:00
-11.087,55.366,36000,1672531500,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:05:00
-11.292,55.402,36000,1672531560,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:06:00
-11.497,55.437,36000,1672531620,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:07:00
-11.702,55.471,36000,1672531680,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:08:00
-11.908,55.506,36000,1672531740,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:09:00
-12.114,55.54,36000,1672531800,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:10:00
-12.32,55.573,36000,1672531860,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:11:00
-12.527,55.607,36000,1672531920,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:12:00
-12.734,55.639,36000,1672531980,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:13:00
-12.941,55.672,36000,1672532040,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:14:00
-13.149,55.704,36000,1672532100,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:15:00
-13.357,55.736,36000,1672532160,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:16:00
-13.565,55.768,36000,1672532220,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:17:00
-13.774,55.799,36000,1672532280,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:18:00
-13.983,55.83,36000,1672532340,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:19:00
-14.192,55.86,36000,1672532400,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:20:00
-14.402,55.89,36000,1672532460,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:21:00
-14.612,55.92,36000,1672532520,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:22:00
-14.822,55.949,36000,1672532580,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:23:00
-15.0,56.0,36000,1672532640,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:24:00
-15.221,56.049,36000,1672532700,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:25:00
-15.443,56.098,36000,1672532760,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:26:00
-15.665,56.147,36000,1672532820,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:27:00
-15.888,56.195,36000,1672532880,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:28:00
-16.111,56.243,36000,1672532940,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:29:00
-16.335,56.29,36000,1672533000,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:30:00
-16.559,56.337,36000,1672533060,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:31:00
-16.784,56.384,36000,1672533120,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:32:00
-17.01,56.43,36000,1672533180,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:33:00
-17.236,56.476,36000,1672533240,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:34:00
-17.463,56.521,36000,1672533300,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:35:00
-17.69,56.566,36000,1672533360,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:36:00
-17.918,56.611,36000,1672533420,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:37:00
-18.146,56.655,36000,1672533480,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:38:00
-18.375,56.698,36000,1672533540,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:39:00
-18.604,56.742,36000,1672533600,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:40:00
-18.834,56.785,36000,1672533660,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:41:00
-19.064,56.827,36000,1672533720,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:42:00
-19.295,56.869,36000,1672533780,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:43:00
-19.526,56.911,36000,1672533840,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:44:00
-19.758,56.952,36000,1672533900,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:45:00
-20.0,57.0,36000,1672533960,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:46:00
-20.221,57.081,36000,1672534020,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:47:00
-20.444,57.161,36000,1672534080,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:48:00
-20.667,57.242,36000,1672534140,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:49:00
-20.891,57.321,36000,1672534200,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:50:00
-21.116,57.401,36000,1672534260,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:51:00
-21.342,57.48,36000,1672534320,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:52:00
-21.569,57.558,36000,1672534380,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:53:00
-21.797,57.636,36000,1672534440,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:54:00
-22.026,57.714,36000,1672534500,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:55:00
-22.256,57.791,36000,1672534560,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:56:00
-22.487,57.868,36000,1672534620,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:57:00
-22.719,57.945,36000,1672534680,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:58:00
-22.952,58.021,36000,1672534740,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 00:59:00
-23.186,58.096,36000,1672534800,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 01:00:00
-23.421,58.171,36000,1672534860,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 01:01:00
-23.657,58.246,36000,1672534920,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 01:02:00
-23.894,58.321,36000,1672534980,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 01:03:00
-24.132,58.394,36000,1672535040,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 01:04:00
-24.371,58.468,36000,1672535100,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 01:05:00
-24.611,58.541,36000,1672535160,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 01:06:00
-24.852,58.613,36000,1672535220,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 01:07:00
-25.094,58.685,36000,1672535280,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 01:08:00
-25.337,58.757,36000,1672535340,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 01:09:00
-25.581,58.828,36000,1672535400,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 01:10:00
-25.825,58.899,36000,1672535460,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 01:11:00
-26.071,58.969,36000,1672535520,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 01:12:00
-26.318,59.039,36000,1672535580,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 01:13:00
-26.566,59.108,36000,1672535640,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 01:14:00
-26.815,59.177,36000,1672535700,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 01:15:00
-27.065,59.245,36000,1672535760,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 01:16:00
-27.316,59.313,36000,1672535820,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 01:17:00
-27.568,59.38,36000,1672535880,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 01:18:00
-27.821,59.447,36000,1672535940,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 01:19:00
-28.075,59.513,36000,1672536000,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 01:20:00
-28.329,59.579,36000,1672536060,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 01:21:00
-28.585,59.645,36000,1672536120,237,0.7883658345844705,152281.72,1.36986,0.3,247044764536719.38,B767,47.25,10700,2023-01-01 01:22:00
