Longitude (degrees),Latitude (degrees),Altitude (feet),UTC time,True airspeed (m s-1),Mach Number,Aircraft mass (kg),Fuel mass flow rate (kg s-1),Overall propulsion efficiency,nvPM number emissions index (kg-1),ICAO Aircraft Type,Wingspan (m),Altitude (m),time
-10.07,55,36000,1672531200,237,0.7883658345844705,152281.72,1.36986,0.3,223597825632015.22,B767,47.25,10700.0,2023-01-01 00:00:00
-10.273,55,36000,1672531260,237,0.7883658345844705,152281.72,1.36986,0.3,223597825632015.22,B767,47.25,10700.0,2023-01-01 00:01:00
-10.476,55,36000,1672531320,237,0.7883658345844705,152281.72,1.36986,0.3,223597825632015.22,B767,47.25,10700.0,2023-01-01 00:02:00
-10.68,55,36000,1672531380,237,0.7883658345844705,152281.72,1.36986,0.3,223597825632015.22,B767,47.25,10700.0,2023-01-01 00:03:00
-10.883,55,36000,1672531440,237,0.7883658345844705,152281.72,1.36986,0.3,223597825632015.22,B767,47.25,10700.0,2023-01-01 00:04:00
-11.087,55,36000,1672531500,237,0.7883658345844705,152281.72,1.36986,0.3,223597825632015.22,B767,47.25,10700.0,2023-01-01 00:05:00
-11.292,55,36000,1672531560,237,0.7883658345844705,152281.72,1.36986,0.3,223597825632015.22,B767,47.25,10700.0,2023-01-01 00:06:00
-11.497,55,36000,1672531620,237,0.7883658345844705,152281.72,1.36986,0.3,223597825632015.22,B767,47.25,10700.0,2023-01-01 00:07:00
-11.702,55,36000,1672531680,237,0.7883658345844705,152281.72,1.36986,0.3,223597825632015.22,B767,47.25,10700.0,2023-01-01 00:08:00
-11.908,55,36000,1672531740,237,0.7883658345844705,152281.72,1.36986,0.3,223597825632015.22,B767,47.25,10700.0,2023-01-01 00:09:00
-12.114,55,36000,1672531800,237,0.7883658345844705,152281.72,1.36986,0.3,223597825632015.22,B767,47.25,10700.0,2023-01-01 00:10:00
-12.32,55,36000,1672531860,237,0.7883658345844705,152281.72,1.36986,0.3,223597825632015.22,B767,47.25,10700.0,2023-01-01 00:11:00
-12.527,55,36000,1672531920,237,0.7883658345844705,152281.72,1.36986,0.3,223597825632015.22,B767,47.25,10700.0,2023-01-01 00:12:00
-12.734,55,36000,1672531980,237,0.7883658345844705,152281.72,1.36986,0.3,223597825632015.22,B767,47.25,10700.0,2023-01-01 00:13:00
-12.941,55,36000,1672532040,237,0.7883658345844705,152281.72,1.36986,0.3,223597825632015.22,B767,47.25,10700.0,2023-01-01 00:14:00
-13.149,55,36000,1672532100,237,0.7883658345844705,152281.72,1.36986,0.3,223597825632015.22,B767,47.25,10700.0,2023-01-01 00:15:00
-13.357,55,36000,1672532160,237,0.7883658345844705,152281.72,1.36986,0.3,223597825632015.22,B767,47.25,10700.0,2023-01-01 00:16:00
-13.565,55,36000,1672532220,237,0.7883658345844705,152281.72,1.36986,0.3,223597825632015.22,B767,47.25,10700.0,2023-01-01 00:17:00
-13.774,55,36000,1672532280,237,0.7883658345844705,152281.72,1.36986,0.3,223597825632015.22,B767,47.25,10700.0,2023-01-01 00:18:00
-13.983,55,36000,1672532340,237,0.7883658345844705,152281.72,1.36986,0.3,223597825632015.22,B767,47.25,10700.0,2023-01-01 00:19:00
-14.192,55,36000,1672532400,237,0.7883658345844705,152281.72,1.36986,0.3,223597825632015.22,B767,47.25,10700.0,2023-01-01 00:20:00
-14.402,55,36000,1672532460,237,0.7883658345844705,152281.72,1.36986,0.3,223597825632015.22,B767,47.25,10700.0,2023-01-01 00:21:00
-14.612,55,36000,1672532520,237,0.7883658345844705,152281.72,1.36986,0.3,223597825632015.22,B767,47.25,10700.0,2023-01-01 00:22:00
-14.822,55,36000,1672532580,237,0.7883658345844705,152281.72,1.36986,0.3,223597825632015.22,B767,47.25,10700.0,2023-01-01 00:23:00
-15.0,55,36000,1672532640,237,0.7883658345844705,152281.72,1.36986,0.3,223597825632015.22,B767,47.25,10700.0,2023-01-01 00:24:00
-15.221,55,36000,1672532700,237,0.7883658345844705,152281.72,1.36986,0.3,223597825632015.22,B767,47.25,10700.0,2023-01-01 00:25:00
-15.443,55,36000,1672532760,237,0.7883658345844705,152281.72,1.36986,0.3,223597825632015.22,B767,47.25,10700.0,2023-01-01 00:26:00
-15.665,55,36000,1672532820,237,0.7883658345844705,152281.72,1.36986,0.3,223597825632015.22,B767,47.25,10700.0,2023-01-01 00:27:00
-15.888,55,36000,1672532880,237,0.7883658345844705,152281.72,1.36986,0.3,223597825632015.22,B767,47.25,10700.0,2023-01-01 00:28:00
-16.111,55,36000,1672532940,237,0.7883658345844705,152281.72,1.36986,0.3,223597825632015.22,B767,47.25,10700.0,2023-01-01 00:29:00
-16.335,55,36000,1672533000,237,0.7883658345844705,152281.72,1.36986,0.3,223597825632015.22,B767,47.25,10700.0,2023-01-01 00:30:00
-16.559,55,36000,1672533060,237,0.7883658345844705,152281.72,1.36986,0.3,223597825632015.22,B767,47.25,10700.0,2023-01-01 00:31:00
-16.784,55,36000,1672533120,237,0.7883658345844705,152281.72,1.36986,0.3,223597825632015.22,B767,47.25,10700.0,2023-01-01 00:32:00
-17.01,55,36000,1672533180,237,0.7883658345844705,152281.72,1.36986,0.3,223597825632015.22,B767,47.25,10700.0,2023-01-01 00:33:00
-17.236,55,36000,1672533240,237,0.7883658345844705,152281.72,1.36986,0.3,223597825632015.22,B767,47.25,10700.0,2023-01-01 00:34:00
