Contrail_Age_hours,EF_J_m
0.0,-18015132.970153704
0.1666666666666666,-28412699.157807782
0.3333333333333333,-37250238.44886253
0.5,-47744732.36361937
0.6666666666666666,-59998346.164280795
0.8333333333333333,-73878825.20015554
1.0,-88274846.5315176
1.1666666666666663,-102412537.84330443
1.3333333333333333,-116434697.30570215
1.5,-130358521.49137221
1.6666666666666663,-143733857.54541627
1.8333333333333333,-156107620.73097518
2.0,-167484841.42185202
2.1666666666666665,-178092783.03699675
2.333333333333333,-188309041.63762224
2.5,-198078357.71286586
2.6666666666666665,-207283162.33367148
2.833333333333333,-216020148.51818407
3.0,-224401222.49490318
3.1666666666666665,-232369642.4051682
3.333333333333333,-239808676.07836398
3.5,-246693822.59865367
3.6666666666666665,-253050529.98978555
3.833333333333333,-258884840.32072464
4.0,-264200139.19051674
4.166666666666666,-269051075.57269454
4.333333333333333,-273471367.2920717
4.5,-277480571.55319566
4.666666666666666,-281141812.17428553
4.833333333333333,-284473740.38174635
5.0,-287482771.5150795
5.166666666666666,-290259150.4082255
5.333333333333333,-292930203.0929815
5.5,-295529057.2839193
5.666666666666666,-298016811.5544203
5.833333333333333,-300398698.61578995
6.0,-302695457.90121627
6.166666666666666,-304878084.56043255
6.333333333333333,-306906687.308727
6.5,-308766046.7146835
6.666666666666666,-310459233.79975855
6.833333333333333,-311989246.6197263
7.0,-313352541.13431823
7.166666666666666,-314564801.28791517
7.333333333333333,-315638313.4012622
7.5,-316591662.26774055
7.666666666666666,-317452502.18909234
7.833333333333333,-318212419.403053
8.0,-318861599.980184
8.166666666666666,-319412401.62319124
8.333333333333332,-319889194.3860295
8.5,-320299986.8818375
8.666666666666666,-320643658.2898076
8.833333333333332,-320940289.9596886
9.0,-321195457.87228036
9.166666666666666,-321398250.3050311
9.333333333333332,-321554414.21580386
9.5,-321692164.1183838
9.666666666666666,-321831856.3530863
9.833333333333332,-321961552.7347691
10.0,-322100751.72898704
10.166666666666666,-322259316.41998273
10.333333333333332,-322259316.41998273
