Contrail_Age_hours,SW_Radiative_Forcing_W_m2,SW_RF_CLEAR_W_m2,SW_RF_CONTRAIL_W_m2
0.0,-683.7728,876.1829,192.4101
0.1666666666666666,-395.6596,876.1829,480.5233
0.3333333333333333,-269.46090000000004,876.1829,606.722
0.5,-254.13329999999996,876.1829,622.0496
0.6666666666666666,-258.9543,876.1829,617.2286
0.8333333333333333,-258.92240000000004,876.1829,617.2605
1.0,-246.47860000000003,876.1829,629.7043
1.1666666666666663,-230.73000000000002,876.1829,645.4529
1.3333333333333333,-216.5081,876.1829,659.6748
1.5,-204.7242,876.1829,671.4587
1.6666666666666663,-189.30730000000005,876.1829,686.8756
1.8333333333333333,-176.3732,876.1829,699.8097
2.0,-164.7881,876.1829,711.3948
2.1666666666666665,-153.80270000000007,876.1829,722.3802
2.333333333333333,-142.90909999999997,876.1829,733.2738
2.5,-133.98220000000003,876.1829,742.2007
2.6666666666666665,-124.99160000000006,876.1829,751.1913
2.833333333333333,-118.20490000000007,876.1829,757.978
3.0,-111.30290000000002,876.1829,764.88
3.1666666666666665,-104.00610000000006,876.1829,772.1768
3.333333333333333,-97.35090000000002,876.1829,778.832
3.5,-91.11430000000007,876.1829,785.0686
3.6666666666666665,-85.21620000000007,876.1829,790.9667
3.833333333333333,-79.68039999999996,876.1829,796.5025
4.0,-74.67259999999999,876.1829,801.5103
4.166666666666666,-70.04769999999996,876.1829,806.1352
4.333333333333333,-65.78880000000004,876.1829,810.3941
4.5,-62.544700000000034,876.1829,813.6382
4.666666666666666,-59.537000000000035,876.1829,816.6459
4.833333333333333,-56.80280000000005,876.1829,819.3801
5.0,-54.21710000000007,876.1829,821.9658
5.166666666666666,-51.70839999999998,876.1829,824.4745
5.333333333333333,-49.59170000000006,876.1829,826.5912
5.5,-47.86940000000004,876.1829,828.3135
5.666666666666666,-46.173400000000015,876.1829,830.0095
5.833333333333333,-44.465599999999995,876.1829,831.7173
6.0,-42.640300000000025,876.1829,833.5426
6.166666666666666,-40.84370000000001,876.1829,835.3392
6.333333333333333,-39.172300000000064,876.1829,837.0106
6.5,-37.46850000000006,876.1829,838.7144
6.666666666666666,-35.766500000000065,876.1829,840.4164
6.833333333333333,-34.16930000000002,876.1829,842.0136
7.0,-32.665899999999965,876.1829,843.517
7.166666666666666,-31.158500000000004,876.1829,845.0244
7.333333333333333,-29.785300000000007,876.1829,846.3976
7.5,-28.502399999999966,876.1829,847.6805
7.666666666666666,-27.22860000000003,876.1829,848.9543
7.833333333333333,-25.960800000000063,876.1829,850.2221
8.0,-24.65440000000001,876.1829,851.5285
8.166666666666666,-23.365499999999997,876.1829,852.8174
8.333333333333332,-22.235500000000002,876.1829,853.9474
8.5,-21.170600000000036,876.1829,855.0123
8.666666666666666,-20.103200000000015,876.1829,856.0797
8.833333333333332,-19.1173,876.1829,857.0656
9.0,-18.105000000000018,876.1829,858.0779
9.166666666666666,-17.118400000000065,876.1829,859.0645
9.333333333333332,-16.22390000000007,876.1829,859.959
9.5,-15.488699999999994,876.1829,860.6942
9.666666666666666,-14.735900000000015,876.1829,861.447
9.833333333333332,-14.037900000000036,876.1829,862.145
10.0,-13.369400000000041,876.1829,862.8135
10.166666666666666,-12.669300000000021,876.1829,863.5136
10.333333333333332,-12.02150000000006,876.1829,864.1614
10.5,-11.42840000000001,876.1829,864.7545
10.666666666666666,-10.744300000000067,876.1829,865.4386
10.833333333333332,-10.109199999999987,876.1829,866.0737
11.0,-9.487100000000055,876.1829,866.6958
11.166666666666666,-8.925000000000068,876.1829,867.2579
11.333333333333332,-8.407000000000039,876.1829,867.7759
11.5,-7.887100000000032,876.1829,868.2958
11.666666666666666,-7.364400000000046,876.1829,868.8185
11.833333333333332,-6.881899999999973,876.1829,869.301
12.0,-6.414300000000026,876.1829,869.7686
12.166666666666666,-5.960699999999974,876.1829,870.2222
12.333333333333332,-5.53430000000003,876.1829,870.6486
12.5,-5.177400000000034,876.1829,871.0055
12.666666666666666,-4.819399999999973,876.1829,871.3635
12.833333333333332,-4.483200000000011,876.1829,871.6997
13.0,-4.1580000000000155,876.1829,872.0249
13.166666666666666,-3.832300000000032,876.1829,872.3506
13.333333333333332,-3.547300000000064,876.1829,872.6356
13.5,-3.258199999999988,876.1829,872.9247
13.666666666666666,-2.9623000000000275,876.1829,873.2206
13.833333333333332,-2.6981000000000677,876.1829,873.4848
14.0,-2.440400000000068,876.1829,873.7425
14.166666666666666,-2.191400000000044,876.1829,873.9915
14.333333333333332,-1.9604000000000497,876.1829,874.2225
14.5,-1.7446999999999662,876.1829,874.4382
14.666666666666666,-1.5306000000000495,876.1829,874.6523
14.833333333333332,-1.3409000000000333,876.1829,874.842
15.0,-1.16700000000003,876.1829,875.0159
15.166666666666666,-0.9932000000000016,876.1829,875.1897
15.333333333333332,-0.844600000000014,876.1829,875.3383
15.5,-0.7205000000000155,876.1829,875.4624
15.666666666666666,-0.6057000000000698,876.1829,875.5772
15.833333333333332,-0.49919999999997344,876.1829,875.6837
16.0,-0.41010000000005675,876.1829,875.7728
16.166666666666664,-0.35390000000006694,876.1829,875.829
16.333333333333332,-0.3005000000000564,876.1829,875.8824
16.5,-0.23419999999998709,876.1829,875.9487
16.666666666666664,-0.18240000000002965,876.1829,876.0005
