Tempearture [C],Temperature [K],IWC [g/m3]
-77.49947287,195.6505271,0.001409341
-77.13175096,196.018249,0.001777863
-76.88660302,196.263397,0.001798807
-76.55390225,196.5960977,0.00084724
-76.50137055,196.6486294,0.001750773
-76.50137055,196.6486294,0.000352028
-76.1599145,196.9900855,0.000335495
-76.2124462,196.9375538,0.000278766
-76.1599145,196.9900855,0.004657183
-76.08111694,197.0688831,0.00165382
-76.1599145,196.9900855,0.00061103
-76.13364864,197.0163514,0.001401638
-75.95729222,197.1927078,0.001945846
-75.97605354,197.1739465,0.000877581
-75.92352184,197.2264782,0.008009398
-75.97605354,197.1739465,0.000114946
-75.89725599,197.252744,0.039003757
-75.81845844,197.3315416,0.014415909
-75.84472429,197.3052757,0.000733335
-75.76592674,197.3840733,0.06155967
-75.77905966,197.3709403,0.001672147
-75.76592674,197.3840733,0.000219443
-75.66086334,197.4891367,0.030040576
-75.67280236,197.4771976,0.002098497
-75.66086334,197.4891367,0.001325671
-75.73966089,197.4103391,0.000838508
-75.60833164,197.5416684,0.001045447
-75.53703861,197.6129614,0.002662048
-75.49801507,197.6519849,0.014017071
-75.63459749,197.5154025,0.007928157
-75.55579994,197.5942001,0.004640644
-75.58206579,197.5679342,0.001622528
-75.52953409,197.6204659,0.000217953
-75.39820483,197.7517952,0.022674084
-75.40696012,197.7430399,0.001903715
-75.39820483,197.7517952,1.41914E-05
-75.47700238,197.6729976,0.029487497
-75.34567313,197.8043269,0.001339002
-75.36143264,197.7885674,1.03121E-05
-75.26687558,197.8831244,0.002688855
-75.37193898,197.778061,0.002455198
-75.24060973,197.9093903,0.013508426
-75.21434388,197.9356561,0.001953836
-75.24060973,197.9093903,0.010361204
-75.24060973,197.9093903,0.001040058
-75.08301463,198.0669854,0.023095757
-75.0882678,198.0617322,0.01664193
-75.04624244,198.1037576,0.00161898
-75.08301463,198.0669854,0.00138709
-75.05674878,198.0932512,0.000861225
-75.13554633,198.0144537,0.000670116
-75.13554633,198.0144537,0.000112049
-75.05674878,198.0932512,3.85857E-05
-75.10928048,198.0407195,1.03391E-05
-75.00421708,198.1457829,5.55137E-05
-75.10928048,198.0407195,1.96071E-05
-74.97795123,198.1720488,0.018663651
-74.87288783,198.2771122,0.002098935
-74.97795123,198.1720488,0.000930572
-74.89915368,198.2508463,0.023368291
-74.79409027,198.3559097,2.13635E-05
-74.8072232,198.3427768,0.001680529
-74.68902687,198.4609731,0.010624441
-74.68902687,198.4609731,0.001472117
-74.68902687,198.4609731,0.000780991
-74.74155857,198.4084414,6.95619E-05
-74.76782442,198.3821756,5.57908E-05
-74.66276102,198.487239,1.039E-05
-74.71529272,198.4347073,0.002430014
-74.55769762,198.5923024,0.001998691
-74.55769762,198.5923024,0.001172698
-74.50516592,198.6448341,0.003306932
-74.47890007,198.6710999,0.001315175
-74.47890007,198.6710999,0.000843842
-74.50516592,198.6448341,0.000324488
-74.50516592,198.6448341,3.83846E-05
-74.53143177,198.6185682,0.017786526
-74.47890007,198.6710999,0.000985257
-74.45263422,198.6973658,0.00070826
-74.45263422,198.6973658,0.000277442
-74.53143177,198.6185682,0.000157158
-74.45263422,198.6973658,2.22422E-05
-74.34381855,198.8061814,0.001748328
-74.40010252,198.7498975,0.001496731
-74.47890007,198.6710999,1.04773E-05
-74.37383667,198.7761633,0.007978592
-74.42636837,198.7236316,0.006540771
-74.36333033,198.7866697,0.002613106
-74.40010252,198.7498975,7.00246E-05
-74.29503912,198.8549609,0.002292548
-74.24250742,198.9074926,0.002035861
-74.32130497,198.828695,0.003357243
-74.18997572,198.9600243,0.00127708
-74.18997572,198.9600243,0.000870321
-74.29503912,198.8549609,0.00042732
-74.17684279,198.9731572,3.94621E-05
-74.12431109,199.0256889,0.000160752
-74.03763378,199.1123662,0.018220321
-74.16370987,198.9862901,0.001688701
-74.08491231,199.0650877,0.000654837
-74.03238061,199.1176194,0.000576641
-74.11117816,199.0388218,2.77297E-05
-73.97328245,199.1767176,7.49762E-05
-73.95358306,199.1964169,0.025741069
-74.00611476,199.1438852,0.021987471
-73.95358306,199.1964169,0.011060111
-73.95358306,199.1964169,0.002013175
-74.00611476,199.1438852,0.001181614
-73.88003868,199.2699613,0.003316322
-73.89354683,199.2564532,0.000899878
-73.95358306,199.1964169,0.006539802
-73.82225381,199.3277462,0.001342878
-73.90105136,199.2489486,0.000832399
-73.79598796,199.354012,0.000528845
-73.87478551,199.2752145,0.000434886
-73.87478551,199.2752145,0.000174419
-73.76972211,199.3802779,0.000345562
-73.82225381,199.3277462,0.019085924
-73.78285503,199.367145,0.008188087
-73.74345626,199.4065437,0.00237107
-73.69842909,199.4515709,0.00071014
-73.74345626,199.4065437,0.000285196
-73.73294992,199.4170501,0.000130198
-73.69092456,199.4590754,0.004001792
-73.67779163,199.4722084,7.86355E-05
-73.74345626,199.4065437,2.77265E-05
-73.61212701,199.537873,0.001591765
-73.63839286,199.5116071,0.009005059
-73.55434214,199.5956579,0.003256217
-73.63839286,199.5116071,0.001043044
-73.58586116,199.5641388,0.000104242
-73.49393068,199.6560693,0.001374196
-73.53332946,199.6166705,0.000891502
-73.50706361,199.6429364,0.000560274
-73.4545319,199.6954681,1.28846E-05
-73.4545319,199.6954681,0.000733527
-73.48079775,199.6692022,0.000142007
-73.3494685,199.8005315,0.00381449
-73.3494685,199.8005315,0.002080342
-73.3494685,199.8005315,7.96939E-05
-73.4545319,199.6954681,2.37447E-05
-73.2969368,199.8530632,0.001679734
-73.2969368,199.8530632,0.000226403
-73.27067095,199.879329,0.000168398
-73.27067095,199.879329,0.003182738
-73.2444051,199.9055949,0.000821091
-73.2969368,199.8530632,9.43099E-05
-73.2969368,199.8530632,4.6257E-05
-73.27067095,199.879329,0.001365449
-73.17728126,199.9727187,0.001126896
-73.28117729,199.8688227,0.000574954
-73.21813925,199.9318607,0.000346376
-73.21813925,199.9318607,5.52961E-05
-73.2444051,199.9055949,1.27542E-05
-73.1393417,200.0106583,1.98943E-05
-73.1393417,200.0106583,0.003827107
-73.08681,200.06319,0.002129798
-73.0342783,200.1157217,0.00018728
-73.11307585,200.0369242,7.66603E-05
-73.11307585,200.0369242,0.001688145
-73.11307585,200.0369242,0.001049921
-73.08681,200.06319,0.000697308
-72.9817466,200.1682534,0.000514077
-72.96298528,200.1870147,0.000216358
-72.9817466,200.1682534,0.000149343
-72.9292149,200.2207851,0.003084776
-72.9292149,200.2207851,0.002580453
-73.00801245,200.1419876,0.000461554
-72.88193637,200.2680636,0.004480166
-72.85792187,200.2920781,0.001431882
-72.85041735,200.2995827,0.001173256
-72.8766832,200.2733168,0.000370786
-72.8766832,200.2733168,0.000117574
-72.82415149,200.3258485,6.10651E-05
-72.79788564,200.3521144,4.85483E-05
-72.71908809,200.4309119,0.000832091
-72.71908809,200.4309119,9.80168E-05
-72.77161979,200.3783802,0.00185803
-72.66655639,200.4834436,0.00014733
-72.61402469,200.5359753,0.003158059
-72.59826518,200.5517348,0.002719383
-72.69282224,200.4571778,0.004452822
-72.56149299,200.588507,0.001365146
-72.57900356,200.5709964,0.001107869
-72.56149299,200.588507,0.000436541
-72.59651412,200.5534859,0.000353081
-72.56149299,200.588507,0.000108799
-72.53522714,200.6147729,0.000214293
-72.53522714,200.6147729,0.000177307
-72.56149299,200.588507,6.07524E-05
-72.45642959,200.6935704,0.002291228
-72.45642959,200.6935704,0.00162915
-72.40389789,200.7461021,0.00086196
-72.43016374,200.7198363,0.000557262
-72.43016374,200.7198363,0.000151343
-72.40389789,200.7461021,0.003157851
-72.43016374,200.7198363,0.002797273
-72.37763204,200.772368,0.001365067
-72.24630279,200.9036972,0.001155389
-72.29883449,200.8511655,0.000418509
-72.24630279,200.9036972,0.000311152
-72.25005505,200.8999449,0.000198134
-72.31634505,200.8336549,0.000108791
-72.29883449,200.8511655,4.62426E-05
-72.27256864,200.8774314,0.000672906
-72.27256864,200.8774314,0.000244149
-72.19377109,200.9562289,0.000173741
-72.13598621,201.0140138,0.001746615
-72.14123938,201.0087606,0.00048862
-72.14123938,201.0087606,0.000794959
-72.06244183,201.0875582,0.000141658
-72.08870768,201.0612923,7.28601E-05
-72.00991013,201.1400899,0.002225875
-72.06244183,201.0875582,3.94692E-05
-72.06244183,201.0875582,2.7341E-05
-71.98364428,201.1663557,0.001146572
-71.91797966,201.2320203,0.000322999
-71.93986786,201.2101321,0.000200802
-72.03617598,201.113824,1.02081E-05
-71.87858088,201.2714191,0.000113836
-71.93111258,201.2188874,0.000552503
-71.83918211,201.3108179,0.000454827
-71.85231503,201.297685,6.4048E-05
-71.66845408,201.4815459,0.000366919
-71.61592238,201.5340776,0.000312666
-71.74725163,201.4027484,0.0002042
-71.56339068,201.5866093,0.000138382
-71.66845408,201.4815459,0.000115373
-71.54763117,201.6023688,7.36173E-05
-71.56339068,201.5866093,8.34951E-05
-71.49209765,201.6579023,6.4342E-05
-71.45832727,201.6916727,0.002514924
-71.51085898,201.639141,0.000451347
-71.45832727,201.6916727,0.000157404
-71.37952972,201.7704703,3.29206E-05
-71.28879315,201.8612069,0.000291115
-71.32699802,201.823002,0.000967847
-71.35326387,201.7967361,0.000140486
-71.32699802,201.823002,1.28111E-05
-71.19566877,201.9543312,0.001499517
-71.19566877,201.9543312,0.00121691
-71.19566877,201.9543312,0.000181461
-71.24820047,201.9017995,0.000113336
-71.17465609,201.9753439,9.54934E-05
-71.2088017,201.9411983,6.70988E-05
-71.14313707,202.0068629,0.014837851
-71.16940292,201.9805971,0.002579031
-71.14313707,202.0068629,0.00175669
-71.11687122,202.0331288,2.11457E-05
-70.98554197,202.164458,0.000735743
-71.03807367,202.1119263,0.000489275
-71.11687122,202.0331288,0.000279261
-70.98554197,202.164458,0.000196395
-70.93301027,202.2169897,0.000979203
-70.93301027,202.2169897,0.00013976
-70.93301027,202.2169897,4.42425E-05
-70.98554197,202.164458,1.75219E-05
-70.85421272,202.2957873,0.001499988
-70.98554197,202.164458,0.001220935
-70.89923989,202.2507601,0.000379214
-70.82269369,202.3273063,0.000190971
-70.88047857,202.2695214,0.000159914
-70.88923385,202.2607662,9.78507E-05
-70.8767263,202.2732737,6.39592E-05
-70.95927612,202.1907239,0.015422971
-70.82794686,202.3220531,0.001695481
-70.88047857,202.2695214,0.000118594
-70.88047857,202.2695214,7.56452E-05
-70.80168101,202.348319,2.44305E-05
-70.77541516,202.3745848,0.00086152
-70.74914931,202.4008507,0.004390558
-70.72288346,202.4271165,0.000238988
-70.72288346,202.4271165,5.2178E-05
-70.72288346,202.4271165,1.21367E-05
-70.80168101,202.348319,0.002604923
-70.80168101,202.348319,0.000714635
-70.59155421,202.5584458,0.000957896
-70.61782006,202.5321799,0.000335478
-70.64408591,202.5059141,0.000140929
-70.74914931,202.4008507,4.62201E-05
-70.56528836,202.5847116,0.001514446
-70.56528836,202.5847116,0.000604438
-70.54427568,202.6057243,0.000418702
