Temperature [C],Temperature [K],IWC [g/m3],From ACCRI report fig 6
-54.3849539,218.7650461,0.003895983,
-54.21503199,218.934968,0.008676317,
-54.02511925,219.1248807,0.006588298,
-54.02511925,219.1248807,0.011804733,
-54.01012614,219.1398739,0.003168937,
-53.99513303,219.154867,0.001480864,
-53.99513303,219.154867,0.00884432,
-53.81521571,219.3347843,0.011803951,
-53.72525704,219.424743,0.001476469,
-53.72525704,219.424743,0.003238014,
-53.6552892,219.4947108,0.004239333,
-53.63529838,219.5147016,0.006676844,
-53.42539484,219.7246052,0.010474834,
-53.42111109,219.7288889,0.002230016,
-53.33543617,219.8145638,0.004222619,
-53.31544536,219.8345546,0.006366608,
-53.05056708,220.0994329,0.002179743,
-53.04157121,220.1084288,0.005963554,
-53.03557396,220.114426,0.010039303,
-53.00558774,220.1444123,0.007335757,
-53.00558774,220.1444123,0.00160969,
-53.00558774,220.1444123,0.002634735,
-52.98416901,220.165831,0.008568651,
-52.97560152,220.1743985,0.002006939,
-52.96060841,220.1893916,0.004054864,
-52.82567042,220.3243296,0.000847924,
-52.7956842,220.3543158,0.008344929,
-52.7956842,220.3543158,0.001992967,
-52.7956842,220.3543158,0.002660038,
-52.7956842,220.3543158,0.001600316,
-52.71772002,220.43228,0.006339324,
-52.69573013,220.4542699,0.010607669,
-52.64575309,220.5042469,0.007098802,
-52.61576687,220.5342331,0.000847868,
-52.58578065,220.5642193,0.009696063,
-52.33226078,220.8177392,0.006417567,
-52.28591844,220.8640816,0.010197581,
-52.225946,220.924054,0.008839386,
-52.225946,220.924054,0.007698449,
-52.20195702,220.948043,0.0043048,
-52.01004521,221.1399548,0.006501,
-51.99890747,221.1510925,0.001672792,
-51.97452307,221.1754769,0.003347338,
-51.95607001,221.19393,0.011688541,
-51.95607001,221.19393,0.010175934,
-51.95607001,221.19393,0.004077053,
-51.92608379,221.2239162,0.00883855,
-51.92608379,221.2239162,0.004683045,
-51.86611135,221.2838886,0.007518925,
-51.55875259,221.5912474,0.007035169,
-51.20641449,221.9435855,0.00902563,
-51.19278439,221.9572156,0.010730803,
-50.99651095,222.1534891,0.010752693,
-50.92454402,222.225456,0.009084082,
-50.00696566,223.1430343,0.007756999,
-50.00696566,223.1430343,0.00927221,
-49.82704833,223.3229517,0.003965993,
-49.79706211,223.3529379,0.009357652,
-49.79706211,223.3529379,0.007601299,
-49.61714479,223.5328552,0.003981026,
-55.01590493,218.1340951,0.002016831,start of t> 40 min data
-54.62191717,218.5280828,0.002992496,
-54.41179037,218.7382096,0.002390331,
-54.01780261,219.1321974,0.009871405,
-54.01780261,219.1321974,0.008409216,
-54.01780261,219.1321974,0.00725458,
-54.01780261,219.1321974,0.006085944,
-54.03006001,219.11994,0.004836982,
-54.04406846,219.1059315,0.003326367,
-53.80767581,219.3423242,0.004609134,
-53.78140996,219.36859,0.007336357,
-53.20760215,219.9423979,0.00552234,
-53.072232,220.077768,0.003487174,
-53.0197003,220.1302997,0.007494702,
-53.00218973,220.1478103,0.006388519,
-53.00298566,220.1470143,0.004375777,
-52.80957349,220.3404265,0.005247878,
-52.83583934,220.3141607,0.003368588,
-52.36889089,220.7811091,0.008090731,
-52.35780087,220.7921991,0.006205077,
-52.52064914,220.6293509,0.005097155,
-52.02159798,221.128402,0.002276724,
-51.99533213,221.1546679,0.010175266,
-51.9480536,221.2019464,0.007970148,
-51.98876567,221.1612343,0.00646689,
-51.99533213,221.1546679,0.005525395,
-51.99533213,221.1546679,0.003511672,
-51.68014193,221.4698581,0.007582675,
-51.41748342,221.7325166,0.003294969,
-51.01474038,222.1352596,0.004847824,
-51.04976152,222.1002385,0.002031359,
-50.81336886,222.3366311,0.002796501,
-50.78710301,222.362897,0.002010771,
-50.41354425,222.7364557,0.003235117,
-50.09251719,223.0574828,0.002033032,
-50.0152911,223.1347089,0.00289015,
-49.9991275,223.1508725,0.003232277,
-49.97286165,223.1771383,0.002275146,
-49.8415324,223.3084676,0.002010176,
-49.20239671,223.9476033,0.00424508,
-49.06756534,224.0824347,0.015279772,
-49.0693164,224.0806836,0.008939024,
-49.02729104,224.122709,0.023444657,
-49.0126989,224.1373011,0.011781002,
-49.05355689,224.0964431,0.010224761,
-49.0126989,224.1373011,0.00726806,
-49.02729104,224.122709,0.006153673,
-49.02729104,224.122709,0.005235047,
-49.01153153,224.1384685,0.003290586,
-49.04772003,224.10228,0.002706069,
-49.00102519,224.1489748,0.040209793,
-49.00102519,224.1489748,0.002369121,
-48.91347235,224.2365276,0.004202021,
-48.64380962,224.5061904,0.016604998,
-48.84343008,224.3065699,0.014127073,
-48.81716423,224.3328358,0.008741811,
-48.72786034,224.4221397,0.006534695,
-48.23931552,224.9106845,0.0166533,
-48.02918872,225.1208113,0.020166531,
-48.02918872,225.1208113,0.011078333,
-48.02743766,225.1225623,0.008306267,
-48.05545457,225.0945454,0.006348008,
-48.02393555,225.1260644,0.005118716,
-48.05545457,225.0945454,0.004416946,
-48.02918872,225.1208113,0.002627896,
-47.89785947,225.2521405,0.017781902,
-47.56165658,225.5883434,0.008496321,
-47.79279607,225.3572039,0.005518125,
-47.32001076,225.8299892,0.008723009,
-47.01882901,226.131171,0.006184491,
-47.21494736,225.9350526,0.005517126,
-46.79469375,226.3553062,0.006406244,
-46.02422881,227.1257712,0.012443312,
-45.79659144,227.3534086,0.013418249,
-45.37108466,227.7789153,0.00812784,
-44.96775794,228.1822421,0.008130464,
-45.0536431,228.0963569,0.006922477,
-44.42493036,228.7250696,0.007523109,
-44.02452206,229.1254779,0.010031421,
-43.56924732,229.5807527,0.010003001,
-43.24880395,229.9011961,0.009875746,
-43.0124113,230.1375887,0.020060882,
-43.0124113,230.1375887,0.011187794,
-43.0124113,230.1375887,0.007973148,
-42.04057483,231.1094252,0.026475901,
-42.04057483,231.1094252,0.015372844,
-41.80418218,231.3458178,0.032987077,
-41.80418218,231.3458178,0.015231357,
-41.02204352,232.1279565,0.055506337,
-40.98994082,232.1600592,0.071601964,
-40.64848476,232.5015152,0.055843487,
-40.0443702,233.1056298,0.04417842,
-40.05312548,233.0968745,0.026084299,
-40.03123728,233.1187627,0.034964154,
-39.04101472,234.1089853,0.034603481,
-39.03616564,234.1138344,0.027651931,
-39.04626789,234.1037321,0.022304359,
-39.04626789,234.1037321,0.018974745,
-39.04626789,234.1037321,0.016142178,
-39.06669688,234.0833031,0.013691861,
-39.04626789,234.1037321,0.011623592,
-38.80987523,234.3401248,0.036777442,
-38.60850371,234.5414963,0.029494534,
-38.80987523,234.3401248,0.024799069,
-38.80987523,234.3401248,0.021097043,
-38.80987523,234.3401248,0.017947658,
-38.80987523,234.3401248,0.015268416,
-38.80987523,234.3401248,0.012163423,
-38.20576067,234.9442393,0.030849741,
