D [micron],Conc [cm-3 miu-1],Temperature [C],Temperature [K]
1.009556123,13.7446573,-54,219.15
1.054382829,12.94382112,,
1.060016115,10.23905416,,
1.054154055,7.991192831,,
1.054039686,6.278937564,,
1.05392533,4.933563458,,
1.053810987,3.876459694,,
1.053696655,3.045859223,,
1.053582336,2.393229684,,
1.05346803,1.880437637,,
1.053353736,1.477520411,,
1.070491993,1.029168655,,
1.148827919,0.989033439,,
1.226225975,0.969725412,,
1.308850275,0.970093732,,
1.39704188,0.970462192,,
1.491175921,0.970830792,,
1.591652806,0.971199532,,
1.698899921,0.971568412,,
1.813373451,0.971937432,,
1.935560319,0.972306592,,
2.065980257,0.972675893,,
2.205188017,0.973045334,,
2.362956961,0.998914682,,
2.498932493,1.134993746,,
2.681928457,1.215139576,,
2.862639407,1.215601109,,
3.055526836,1.216062817,,
3.261411207,1.216524701,,
3.481168268,1.21698676,,
3.715732774,1.217448995,,
3.966102464,1.217911405,,
4.233342308,1.218373991,,
4.518589032,1.218836752,,
4.823055958,1.21929969,,
5.148038162,1.219762803,,
5.435436587,1.177986625,,
5.494172792,0.902679334,,
5.493576712,0.709264223,,
5.492980696,0.557291742,,
5.492384745,0.437882069,,
5.491788858,0.344058044,,
5.581109725,0.236662979,,
5.989501066,0.225726258,,
6.393079477,0.225811993,,
6.823851393,0.225897761,,
7.283649141,0.225983561,,
7.774428508,0.226069394,,
8.298277066,0.226155259,,
8.857423051,0.226241157,,
9.454244835,0.226327088,,
10.09128105,0.226413051,,
10.77122516,0.225741735,,
11.24951027,0.213302019,,
11.24828978,0.167598266,,
11.24706941,0.131687355,,
11.24584918,0.103470996,,
11.24462909,0.081300494,,
11.24340912,0.063880416,,
11.24218929,0.0501929,,
11.24096958,0.039438178,,
11.23975002,0.030987847,,
11.23853058,0.024348149,,
11.23731127,0.019131125,,
11.2360921,0.015031941,,
11.41895699,0.010576249,,
12.2546231,0.010266435,,
13.08035153,0.010270335,,
13.96171835,0.010274235,,
14.90247252,0.010278138,,
15.90661562,0.010282042,,
16.97841886,0.010285947,,
18.12244124,0.010289854,,
19.34343237,0.01015678,,
20.01861871,0.008035755,,
19.97956083,0.005865394,,
19.97739318,0.004608629,,
19.97522577,0.003621148,,
19.97305859,0.002845253,,
19.97089165,0.002235607,,
19.96872494,0.001756588,,
19.96655847,0.001380208,,
19.96439224,0.001084474,,
19.96222624,0.000852106,,
19.96006047,0.000669527,,
19.95789494,0.000526069,,
19.95572964,0.000413349,,
19.95356458,0.000324782,,
19.95139976,0.000255192,,
19.94923516,0.000200512,,
19.94707081,0.000157549,,
19.94490669,0.000123791,,
19.9427428,9.72668E-05,,
19.94057915,7.64257E-05,,
19.93841573,6.00501E-05,,
19.93625255,4.71833E-05,,
19.9340896,3.70734E-05,,
19.93192688,2.91298E-05,,
19.9297644,2.28882E-05,,
19.92760216,1.7984E-05,,
19.92544015,1.41306E-05,,
19.92327838,1.11029E-05,,
19.92111684,8.72389E-06,,
19.91895553,6.85464E-06,,
19.91679446,5.38591E-06,,
19.91463362,4.23188E-06,,
19.91247302,3.32513E-06,,
19.91031265,2.61266E-06,,
19.90815252,2.05285E-06,,
19.90599262,1.61299E-06,,
19.90383295,1.26738E-06,,
19.90167352,9.96E-07,,
19.89951432,7.82E-07,,
19.89735536,6.15E-07,,
19.89519663,4.83E-07,,
19.89303814,3.80E-07,,
19.89087988,2.98E-07,,
19.88872186,2.34E-07,,
19.88656406,1.84E-07,,
19.88440651,1.45E-07,,
19.88224918,1.14E-07,,
19.88009209,8.93E-08,,
19.87793524,7.02E-08,,
19.87577862,5.51E-08,,
19.87362223,4.33E-08,,
19.87146608,3.40E-08,,
19.86931016,2.67E-08,,
19.86715447,2.10E-08,,
19.86499902,1.65E-08,,
19.8628438,1.30E-08,,
