D [micron],Conc [cm-3 miu-1],Temperature [C],Temperature [K],Timestamp [UTC]
1.024930548,6.37349376,-49,224.15,88406
1.025225628,5.008138766,,,
1.025520793,3.935275508,,,
1.025816042,3.092245253,,,
1.026111377,2.429812267,,,
1.026406797,1.909288291,,,
1.026702302,1.500273016,,,
1.027293567,0.926334578,,,
1.050724855,0.636039143,,,
1.121968935,0.619820387,,,
1.19360149,0.619820387,,,
1.269807454,0.619820387,,,
1.350878818,0.619820387,,,
1.437126216,0.619820387,,,
1.528880113,0.619820387,,,
1.626492075,0.619820387,,,
1.730336111,0.619820387,,,
1.840810112,0.619820387,,,
1.958337369,0.619820387,,,
2.083368201,0.619820387,,,
2.216452567,0.60343763,,,
2.329112827,0.50410611,,,
2.48334144,0.496923742,,,
2.641891366,0.496923742,,,
2.810563976,0.496923742,,,
2.990005556,0.496923742,,,
3.180903656,0.496923742,,,
3.383989721,0.496923742,,,
3.600041896,0.496923742,,,
3.82988801,0.496923742,,,
4.07440874,0.496923742,,,
4.334540994,0.496923742,,,
4.611281496,0.496923742,,,
4.88075901,0.471633325,,,
4.932989514,0.357914889,,,
4.934409733,0.281240948,,,
4.93583036,0.220992402,,,
4.937251397,0.173650537,,,
4.938672843,0.136450434,,,
4.940094698,0.107219483,,,
5.01868963,0.082574775,,,
5.33932334,0.079855634,,,
5.680214572,0.079855634,,,
6.042870141,0.079855634,,,
6.4286796,0.079855634,,,
6.839121217,0.079855634,,,
7.275767644,0.079855634,,,
7.740291937,0.079855634,,,
8.234473968,0.079855634,,,
8.760207249,0.079855634,,,
9.319543441,0.079588694,,,
9.763431682,0.072417479,,,
9.766195741,0.057133024,,,
9.769007451,0.044893762,,,
9.77181997,0.035276443,,,
9.774633299,0.027719384,,,
9.777447438,0.021781228,,,
9.780262388,0.017115168,,,
9.783078147,0.013448689,,,
9.785894718,0.010567658,,,
9.788712099,0.008303812,,,
9.791530291,0.006524937,,,
9.794349295,0.005127139,,,
9.797169111,0.004028783,,,
9.799989738,0.003165721,,,
9.802811177,0.002487548,,,
9.805633429,0.001954656,,,
9.808456493,0.001535922,,,
9.81128037,0.00120689,,,
9.81410506,0.000948346,,,
9.816930563,0.000745187,,,
9.819756879,0.00058555,,,
9.82258401,0.000460111,,,
9.825411954,0.000361545,,,
9.828240712,0.000284093,,,
9.831070285,0.000223233,,,
9.833900673,0.000175412,,,
9.836731875,0.000137834,,,
9.839563892,0.000108307,,,
9.842396725,8.51049E-05,,,
9.845230373,6.68734E-05,,,
9.848064838,5.25475E-05,,,
9.850900118,4.12906E-05,,,
9.853736214,3.24451E-05,,,
9.856573127,2.54946E-05,,,
9.859410857,2.00331E-05,,,
9.862249404,1.57415E-05,,,
9.865088768,1.23693E-05,,,
9.867928949,9.71949E-06,,,
9.870769948,7.63734E-06,,,
9.873611765,6.00124E-06,,,
9.876454401,4.71563E-06,,,
9.879297854,3.70543E-06,,,
9.882142127,2.91164E-06,,,
9.884987218,2.2879E-06,,,
9.887833128,1.79777E-06,,,
9.890679858,1.41265E-06,,,
9.893527407,1.11002E-06,,,
9.896375776,8.72E-07,,,
9.899224965,6.85E-07,,,
9.902074974,5.39E-07,,,
9.904925804,4.23E-07,,,
9.907777455,3.33E-07,,,
9.910629926,2.61E-07,,,
9.913483219,2.05E-07,,,
9.916337333,1.61E-07,,,
9.919192269,1.27E-07,,,
9.922048027,9.96E-08,,,
9.924904608,7.83E-08,,,
9.92776201,6.15E-08,,,
9.930620235,4.83E-08,,,
9.933479283,3.80E-08,,,
9.936339155,2.98E-08,,,
9.939199849,2.34E-08,,,
9.942061367,1.84E-08,,,
9.944923709,1.45E-08,,,
