Thrust,Wf,EINOx,EIHC,EICO,EImass,EInum
18.6921,0.06261639966567939,3.75,9.74,43.89,9.74,2308264113508.4546
5.2808,0.09069968218256813,3.56,5.44,50.81,5.44,23004439086709.99
9.968000000000002,0.092,4.3,2.5,34.5,2.5,53000000000000.0
35.973,0.108,5.19,4.24,39.11,4.24,24200000000000.0
80.109,0.17957784707738395,9.06,0.19,1.92,0.19,1831892072723.319
22.631999999999998,0.2534828375562833,7.64,0.1,4.46,0.1,88922307121812.52
42.72,0.264,7.8,2.9,19.9,2.9,39800000000000.0
154.17,0.347,16.5,0.06,1.98,0.06,78700000000000.0
226.97549999999998,0.5276357106193938,23.09,0.08,0.52,0.08,66031191938648.53
267.03,0.6452320409663888,32.16,0.07,0.52,0.07,275630788699519.34
121.04,0.743,18.6,0.1,1.3,0.1,388000000000000.0
64.124,0.7521074430564502,15.26,0.05,0.38,0.05,28099642462.715637
142.4,0.894,32.0,0.1,0.6,0.1,429000000000000.0
75.44,0.9161946780447929,17.98,0.04,0.41,0.04,26129629858.806202
436.81499999999994,1.063,35.98,0.03,0.07,0.03,427000000000000.0
513.9,1.318,50.34,0.04,0.08,0.04,384000000000000.0
