Thrust,Wf,EINOx,EIHC,EICO,EImass,EInum
7.476000000000001,0.095,4.45,0.37,23.79,0.37,46100000000000.0
9.121000000000002,0.099,4.72,0.25,20.3,0.25,43800000000000.0
10.017000000000001,0.103,4.85,0.21,18.68,0.21,36900000000000.0
8.442,0.108,4.61,0.29,21.63,0.29,26700000000000.0
32.04,0.277,8.02,0.05,3.53,0.05,44900000000000.0
39.09,0.291,9.27,0.04,2.21,0.04,47900000000000.0
42.93,0.308,9.95,0.04,1.79,0.04,54600000000000.0
36.18,0.331,8.75,0.04,2.65,0.04,71400000000000.0
90.78,0.793,9.41,0.02,0.41,0.02,411000000000000.0
110.75500000000001,0.832,21.03,0.02,0.23,0.02,407000000000000.0
121.63499999999999,0.895,32.35,0.02,0.24,0.02,424000000000000.0
106.8,0.955,17.59,0.02,0.24,0.02,431000000000000.0
102.50999999999999,0.986,13.38,0.02,0.26,0.02,429000000000000.0
130.3,1.004,49.48,0.04,0.27,0.04,431000000000000.0
143.1,1.086,59.74,0.05,0.3,0.05,428000000000000.0
120.6,1.213,30.8,0.02,0.24,0.02,452000000000000.0
