Effective Radius [µm], Depth [m], IWC [g/m³], LW RF [W/m²]
2.725933e+00,2.879040e+01,9.379031e-04,1.020300e+00
2.827997e+00,4.883815e+01,1.197332e-03,1.941700e+00
2.664872e+00,6.169372e+01,1.452066e-03,2.838900e+00
2.473656e+00,7.135640e+01,1.735517e-03,3.773500e+00
2.295102e+00,7.900651e+01,2.042761e-03,4.821600e+00
2.139764e+00,8.518798e+01,2.364881e-03,5.889600e+00
2.009506e+00,9.020326e+01,2.689898e-03,6.972900e+00
1.903377e+00,9.423871e+01,3.003441e-03,8.013300e+00
1.819631e+00,9.741618e+01,3.289743e-03,8.948500e+00
1.756503e+00,9.981764e+01,3.532943e-03,9.799400e+00
1.712508e+00,1.014982e+02,3.718564e-03,1.035410e+01
1.686553e+00,1.024933e+02,3.834980e-03,1.073620e+01
1.677975e+00,1.028229e+02,3.874655e-03,1.092470e+01
1.686553e+00,1.024933e+02,3.834980e-03,1.073620e+01
1.712508e+00,1.014982e+02,3.718564e-03,1.035410e+01
1.756503e+00,9.981764e+01,3.532943e-03,9.799400e+00
1.819631e+00,9.741618e+01,3.289743e-03,8.948500e+00
1.903377e+00,9.423871e+01,3.003441e-03,8.013300e+00
2.009506e+00,9.020326e+01,2.689898e-03,6.972900e+00
2.139764e+00,8.518798e+01,2.364881e-03,5.889600e+00
2.295102e+00,7.900651e+01,2.042761e-03,4.821600e+00
2.473656e+00,7.135640e+01,1.735517e-03,3.773500e+00
2.664872e+00,6.169372e+01,1.452066e-03,2.838900e+00
2.827997e+00,4.883815e+01,1.197332e-03,1.941700e+00
2.725933e+00,2.879040e+01,9.379031e-04,1.020300e+00
4.283435e+00,2.047528e+01,7.368098e-04,6.216000e-01
4.442974e+00,3.473293e+01,9.400814e-04,1.176600e+00
4.186638e+00,4.387561e+01,1.140040e-03,1.698200e+00
3.886184e+00,5.074756e+01,1.362535e-03,2.274300e+00
3.605631e+00,5.618819e+01,1.603697e-03,2.873700e+00
3.361561e+00,6.058436e+01,1.856526e-03,3.549200e+00
3.156898e+00,6.415115e+01,2.111620e-03,4.176800e+00
2.990147e+00,6.702110e+01,2.357702e-03,4.817700e+00
2.858566e+00,6.928087e+01,2.582399e-03,5.381000e+00
2.759381e+00,7.098875e+01,2.773264e-03,5.892900e+00
2.690257e+00,7.218393e+01,2.918940e-03,6.255300e+00
2.649477e+00,7.289163e+01,3.010301e-03,6.512500e+00
2.635999e+00,7.312601e+01,3.041438e-03,6.575700e+00
2.649477e+00,7.289163e+01,3.010301e-03,6.512500e+00
2.690257e+00,7.218393e+01,2.918940e-03,6.255300e+00
2.759381e+00,7.098875e+01,2.773264e-03,5.892900e+00
2.858566e+00,6.928087e+01,2.582399e-03,5.381000e+00
2.990147e+00,6.702110e+01,2.357702e-03,4.817700e+00
3.156898e+00,6.415115e+01,2.111620e-03,4.176800e+00
