Effective Radius [µm], Depth [m], IWC [g/m³], LW RF [W/m²]
1.860880e+00,2.879040e+01,2.803718e-03,2.969200e+00
1.860880e+00,4.883815e+01,2.803718e-03,4.413300e+00
1.860880e+00,6.169372e+01,2.803718e-03,5.329300e+00
1.860880e+00,7.135640e+01,2.803718e-03,5.953800e+00
1.860880e+00,7.900651e+01,2.803718e-03,6.502700e+00
1.860880e+00,8.518798e+01,2.803718e-03,6.910600e+00
1.860880e+00,9.020326e+01,2.803718e-03,7.248100e+00
1.860880e+00,9.423871e+01,2.803718e-03,7.516600e+00
1.860880e+00,9.741618e+01,2.803718e-03,7.717100e+00
1.860880e+00,9.981764e+01,2.803718e-03,7.916800e+00
1.860880e+00,1.014982e+02,2.803718e-03,7.983300e+00
1.860880e+00,1.024933e+02,2.803718e-03,8.049700e+00
1.860880e+00,1.028229e+02,2.803718e-03,8.115900e+00
1.860880e+00,1.024933e+02,2.803718e-03,8.049700e+00
1.860880e+00,1.014982e+02,2.803718e-03,7.983300e+00
1.860880e+00,9.981764e+01,2.803718e-03,7.916800e+00
1.860880e+00,9.741618e+01,2.803718e-03,7.717100e+00
1.860880e+00,9.423871e+01,2.803718e-03,7.516600e+00
1.860880e+00,9.020326e+01,2.803718e-03,7.248100e+00
1.860880e+00,8.518798e+01,2.803718e-03,6.910600e+00
1.860880e+00,7.900651e+01,2.803718e-03,6.502700e+00
1.860880e+00,7.135640e+01,2.803718e-03,5.953800e+00
1.860880e+00,6.169372e+01,2.803718e-03,5.329300e+00
1.860880e+00,4.883815e+01,2.803718e-03,4.413300e+00
1.860880e+00,2.879040e+01,2.803718e-03,2.969200e+00
2.923439e+00,2.047528e+01,2.200797e-03,1.820300e+00
2.923439e+00,3.473293e+01,2.200797e-03,2.697500e+00
2.923439e+00,4.387561e+01,2.200797e-03,3.215200e+00
2.923439e+00,5.074756e+01,2.200797e-03,3.613800e+00
2.923439e+00,5.618819e+01,2.200797e-03,3.896400e+00
2.923439e+00,6.058436e+01,2.200797e-03,4.177300e+00
2.923439e+00,6.415115e+01,2.200797e-03,4.345000e+00
2.923439e+00,6.702110e+01,2.200797e-03,4.512100e+00
2.923439e+00,6.928087e+01,2.200797e-03,4.623300e+00
2.923439e+00,7.098875e+01,2.200797e-03,4.734100e+00
2.923439e+00,7.218393e+01,2.200797e-03,4.789400e+00
2.923439e+00,7.289163e+01,2.200797e-03,4.844700e+00
2.923439e+00,7.312601e+01,2.200797e-03,4.844700e+00
2.923439e+00,7.289163e+01,2.200797e-03,4.844700e+00
2.923439e+00,7.218393e+01,2.200797e-03,4.789400e+00
2.923439e+00,7.098875e+01,2.200797e-03,4.734100e+00
2.923439e+00,6.928087e+01,2.200797e-03,4.623300e+00
2.923439e+00,6.702110e+01,2.200797e-03,4.512100e+00
2.923439e+00,6.415115e+01,2.200797e-03,4.345000e+00
2.923439e+00,6.058436e+01,2.200797e-03,4.177300e+00
2.923439e+00,5.618819e+01,2.200797e-03,3.896400e+00
2.923439e+00,5.074756e+01,2.200797e-03,3.613800e+00
2.923439e+00,4.387561e+01,2.200797e-03,3.215200e+00
2.923439e+00,3.473293e+01,2.200797e-03,2.697500e+00
2.923439e+00,2.047528e+01,2.200797e-03,1.820300e+00
3.802205e+00,2.253884e+01,2.113789e-03,1.920300e+00
3.802205e+00,3.823341e+01,2.113789e-03,2.761000e+00
3.802205e+00,4.829751e+01,2.113789e-03,3.312400e+00
3.802205e+00,5.586203e+01,2.113789e-03,3.748700e+00
3.802205e+00,6.185099e+01,2.113789e-03,4.073200e+00
3.802205e+00,6.669022e+01,2.113789e-03,4.341900e+00
3.802205e+00,7.061647e+01,2.113789e-03,4.555800e+00
3.802205e+00,7.377567e+01,2.113789e-03,4.715500e+00
3.802205e+00,7.626318e+01,2.113789e-03,4.821800e+00
3.802205e+00,7.814319e+01,2.113789e-03,4.927800e+00
3.802205e+00,7.945882e+01,2.113789e-03,4.980700e+00
3.802205e+00,8.023785e+01,2.113789e-03,5.033600e+00
3.802205e+00,8.049585e+01,2.113789e-03,5.033600e+00
3.802205e+00,8.023785e+01,2.113789e-03,5.033600e+00
3.802205e+00,7.945882e+01,2.113789e-03,4.980700e+00
3.802205e+00,7.814319e+01,2.113789e-03,4.927800e+00
3.802205e+00,7.626318e+01,2.113789e-03,4.821800e+00
3.802205e+00,7.377567e+01,2.113789e-03,4.715500e+00
3.802205e+00,7.061647e+01,2.113789e-03,4.555800e+00
3.802205e+00,6.669022e+01,2.113789e-03,4.341900e+00
3.802205e+00,6.185099e+01,2.113789e-03,4.073200e+00
3.802205e+00,5.586203e+01,2.113789e-03,3.748700e+00
3.802205e+00,4.829751e+01,2.113789e-03,3.312400e+00
3.802205e+00,3.823341e+01,2.113789e-03,2.761000e+00
3.802205e+00,2.253884e+01,2.113789e-03,1.920300e+00
4.613169e+00,2.601645e+01,2.080435e-03,2.057700e+00
4.613169e+00,4.413261e+01,2.080435e-03,3.045600e+00
4.613169e+00,5.574954e+01,2.080435e-03,3.691900e+00
4.613169e+00,6.448123e+01,2.080435e-03,4.117800e+00
4.613169e+00,7.139425e+01,2.080435e-03,4.487300e+00
4.613169e+00,7.698014e+01,2.080435e-03,4.801700e+00
4.613169e+00,8.151219e+01,2.080435e-03,5.062200e+00
4.613169e+00,8.515883e+01,2.080435e-03,5.217800e+00
