Effective Radius [µm], Depth [m], IWC [g/m³], SW RF [W/m²]
1.860880e+00,2.879040e+01,2.803718e-03,-3.298000e+00
1.860880e+00,4.883815e+01,2.803718e-03,-4.996700e+00
1.860880e+00,6.169372e+01,2.803718e-03,-6.102500e+00
1.860880e+00,7.135640e+01,2.803718e-03,-6.868700e+00
1.860880e+00,7.900651e+01,2.803718e-03,-7.550000e+00
1.860880e+00,8.518798e+01,2.803718e-03,-8.061300e+00
1.860880e+00,9.020326e+01,2.803718e-03,-8.487400e+00
1.860880e+00,9.423871e+01,2.803718e-03,-8.828300e+00
1.860880e+00,9.741618e+01,2.803718e-03,-9.084100e+00
1.860880e+00,9.981764e+01,2.803718e-03,-9.339900e+00
1.860880e+00,1.014982e+02,2.803718e-03,-9.425100e+00
1.860880e+00,1.024933e+02,2.803718e-03,-9.510500e+00
1.860880e+00,1.028229e+02,2.803718e-03,-9.595700e+00
1.860880e+00,1.024933e+02,2.803718e-03,-9.510500e+00
1.860880e+00,1.014982e+02,2.803718e-03,-9.425100e+00
1.860880e+00,9.981764e+01,2.803718e-03,-9.339900e+00
1.860880e+00,9.741618e+01,2.803718e-03,-9.084100e+00
1.860880e+00,9.423871e+01,2.803718e-03,-8.828300e+00
1.860880e+00,9.020326e+01,2.803718e-03,-8.487400e+00
1.860880e+00,8.518798e+01,2.803718e-03,-8.061300e+00
1.860880e+00,7.900651e+01,2.803718e-03,-7.550000e+00
1.860880e+00,7.135640e+01,2.803718e-03,-6.868700e+00
1.860880e+00,6.169372e+01,2.803718e-03,-6.102500e+00
1.860880e+00,4.883815e+01,2.803718e-03,-4.996700e+00
1.860880e+00,2.879040e+01,2.803718e-03,-3.298000e+00
2.923439e+00,2.047528e+01,2.200797e-03,-1.988400e+00
2.923439e+00,3.473293e+01,2.200797e-03,-2.986000e+00
2.923439e+00,4.387561e+01,2.200797e-03,-3.585200e+00
2.923439e+00,5.074756e+01,2.200797e-03,-4.051700e+00
2.923439e+00,5.618819e+01,2.200797e-03,-4.385000e+00
2.923439e+00,6.058436e+01,2.200797e-03,-4.718500e+00
2.923439e+00,6.415115e+01,2.200797e-03,-4.918700e+00
2.923439e+00,6.702110e+01,2.200797e-03,-5.118800e+00
2.923439e+00,6.928087e+01,2.200797e-03,-5.252400e+00
2.923439e+00,7.098875e+01,2.200797e-03,-5.385800e+00
2.923439e+00,7.218393e+01,2.200797e-03,-5.452600e+00
2.923439e+00,7.289163e+01,2.200797e-03,-5.519300e+00
2.923439e+00,7.312601e+01,2.200797e-03,-5.519300e+00
2.923439e+00,7.289163e+01,2.200797e-03,-5.519300e+00
2.923439e+00,7.218393e+01,2.200797e-03,-5.452600e+00
2.923439e+00,7.098875e+01,2.200797e-03,-5.385800e+00
2.923439e+00,6.928087e+01,2.200797e-03,-5.252400e+00
2.923439e+00,6.702110e+01,2.200797e-03,-5.118800e+00
2.923439e+00,6.415115e+01,2.200797e-03,-4.918700e+00
2.923439e+00,6.058436e+01,2.200797e-03,-4.718500e+00
2.923439e+00,5.618819e+01,2.200797e-03,-4.385000e+00
2.923439e+00,5.074756e+01,2.200797e-03,-4.051700e+00
2.923439e+00,4.387561e+01,2.200797e-03,-3.585200e+00
2.923439e+00,3.473293e+01,2.200797e-03,-2.986000e+00
2.923439e+00,2.047528e+01,2.200797e-03,-1.988400e+00
3.802205e+00,2.253884e+01,2.113789e-03,-2.101100e+00
3.802205e+00,3.823341e+01,2.113789e-03,-3.059400e+00
3.802205e+00,4.829751e+01,2.113789e-03,-3.698900e+00
3.802205e+00,5.586203e+01,2.113789e-03,-4.211000e+00
3.802205e+00,6.185099e+01,2.113789e-03,-4.595400e+00
3.802205e+00,6.669022e+01,2.113789e-03,-4.915600e+00
3.802205e+00,7.061647e+01,2.113789e-03,-5.172000e+00
3.802205e+00,7.377567e+01,2.113789e-03,-5.364300e+00
3.802205e+00,7.626318e+01,2.113789e-03,-5.492600e+00
3.802205e+00,7.814319e+01,2.113789e-03,-5.620800e+00
3.802205e+00,7.945882e+01,2.113789e-03,-5.684900e+00
3.802205e+00,8.023785e+01,2.113789e-03,-5.749100e+00
3.802205e+00,8.049585e+01,2.113789e-03,-5.749100e+00
3.802205e+00,8.023785e+01,2.113789e-03,-5.749100e+00
3.802205e+00,7.945882e+01,2.113789e-03,-5.684900e+00
3.802205e+00,7.814319e+01,2.113789e-03,-5.620800e+00
3.802205e+00,7.626318e+01,2.113789e-03,-5.492600e+00
3.802205e+00,7.377567e+01,2.113789e-03,-5.364300e+00
3.802205e+00,7.061647e+01,2.113789e-03,-5.172000e+00
3.802205e+00,6.669022e+01,2.113789e-03,-4.915600e+00
3.802205e+00,6.185099e+01,2.113789e-03,-4.595400e+00
3.802205e+00,5.586203e+01,2.113789e-03,-4.211000e+00
3.802205e+00,4.829751e+01,2.113789e-03,-3.698900e+00
3.802205e+00,3.823341e+01,2.113789e-03,-3.059400e+00
3.802205e+00,2.253884e+01,2.113789e-03,-2.101100e+00
4.613169e+00,2.601645e+01,2.080435e-03,-2.256300e+00
4.613169e+00,4.413261e+01,2.080435e-03,-3.388500e+00
4.613169e+00,5.574954e+01,2.080435e-03,-4.144300e+00
4.613169e+00,6.448123e+01,2.080435e-03,-4.648600e+00
4.613169e+00,7.139425e+01,2.080435e-03,-5.090100e+00
4.613169e+00,7.698014e+01,2.080435e-03,-5.468600e+00
4.613169e+00,8.151219e+01,2.080435e-03,-5.784200e+00
4.613169e+00,8.515883e+01,2.080435e-03,-5.973600e+00
4.613169e+00,8.803015e+01,2.080435e-03,-6.162900e+00
4.613169e+00,9.020024e+01,2.080435e-03,-6.289300e+00
4.613169e+00,9.171887e+01,2.080435e-03,-6.415600e+00
4.613169e+00,9.261809e+01,2.080435e-03,-6.478700e+00
4.613169e+00,9.291590e+01,2.080435e-03,-6.478700e+00
4.613169e+00,9.261809e+01,2.080435e-03,-6.478700e+00
4.613169e+00,9.171887e+01,2.080435e-03,-6.415600e+00
4.613169e+00,9.020024e+01,2.080435e-03,-6.289300e+00
4.613169e+00,8.803015e+01,2.080435e-03,-6.162900e+00
