z[km],Rayleigh tau,Ice cloud scatter,Molecular abs,Net tau
115,1.359663e-09,0,7.277842e-12,1.36694E-09
110,2.699050e-09,0,6.646968e-11,2.76552E-09
105,5.875134e-09,0,5.794379e-10,6.45457E-09
100,1.430182e-08,0,3.230687e-09,1.75325E-08
95,3.691872e-08,0,1.505625e-08,5.1975E-08
90,1.007632e-07,0,5.217325e-08,1.52936E-07
85,2.794624e-07,0,1.281929e-07,4.07655E-07
80,7.317223e-07,0,1.870306e-07,9.18753E-07
75,1.720808e-06,0,2.434216e-07,1.96423E-06
70,3.610505e-06,0,7.988534e-07,4.40936E-06
65,6.999060e-06,0,3.099478e-06,1.00985E-05
60,1.296820e-05,0,9.898987e-06,2.28672E-05
55,2.355695e-05,0,2.629580e-05,4.98528E-05
50,4.253162e-05,0,7.075726e-05,0.000113289
47.5,3.294504e-05,0,7.394527e-05,0.00010689
45,4.532548e-05,0,1.295322e-04,0.000174858
42.5,6.330162e-05,0,2.359828e-04,0.000299284
40,8.916861e-05,0,4.315404e-04,0.000520709
37.5,1.267755e-04,0,7.428529e-04,0.000869628
35,1.818350e-04,0,1.154446e-03,0.001336281
32.5,2.641028e-04,0,1.617619e-03,0.001881722
30,3.848190e-04,0,2.092405e-03,0.002477224
27.5,5.639513e-04,0,2.635401e-03,0.003199352
25,8.323396e-04,0,3.219468e-03,0.004051808
24,4.347095e-04,0,1.375771e-03,0.001810481
23,5.091044e-04,0,1.354632e-03,0.001863736
22,5.961255e-04,0,1.350237e-03,0.001946363
21,6.980787e-04,0,1.329110e-03,0.002027189
20,8.190018e-04,0,1.293779e-03,0.002112781
19,9.615663e-04,0,1.206124e-03,0.00216769
18,1.129498e-03,0,1.011618e-03,0.002141116
17,1.327293e-03,0,8.094041e-04,0.002136697
16,1.555672e-03,0,7.249515e-04,0.002280624
15,1.819874e-03,0,7.131167e-04,0.002532991
14,2.136752e-03,0,7.120657e-04,0.002848818
13,2.506519e-03,0,6.536330e-04,0.003160152
12,2.884662e-03,0,5.327510e-04,0.003417413
11,3.264029e-03,0,4.653092e-04,0.003729338
10,3.678518e-03,0,4.067618e-04,0.00408528
9,4.132612e-03,1.145543,3.621832e-04,1.150037795
8,4.629530e-03,0,3.463477e-04,0.004975878
7,5.171128e-03,0,3.330836e-04,0.005504212
6,5.767512e-03,0,3.260278e-04,0.00609354
5,6.421336e-03,0,3.259318e-04,0.006747268
4,7.129772e-03,0,3.509938e-04,0.007480766
3,7.895907e-03,0,4.016883e-04,0.008297595
2,8.733205e-03,0,4.890350e-04,0.00922224
1,9.663529e-03,0,6.205951e-04,0.010284124
0,1.069306e-02,0,7.970705e-04,0.011490131
