Aircraft.Type,Number_of_Operations,Annual_Distance,Annual_Fuelburn
100,47137.0,17559860.064,124648052.499
142,252.0,34589.076,249795.86200000002
146,9908.0,2841992.342,21495764.169
220,165.0,0.0,0.0
221,74762.0,54735917.518,352043405.951
223,191627.0,124002308.924,831594024.903
290,25440.0,8692548.451,48913027.5
295,51394.0,25981035.112,177018837.669
310,8867.0,6500374.188,78092382.136
313,1031.0,815095.799,9690980.979
318,23560.0,10230356.132000001,76530959.242
319,1421489.0,814563089.213,5637237873.398
31B,685.0,0.0,0.0
31N,2448.0,0.0,0.0
320,5831543.0,3683754052.267,25471556304.668
321,2080007.0,1528354695.776,13155416199.341
32A,775935.0,490257450.671,3409176604.814
32B,218168.0,197916124.72,1640240321.763
32N,842884.0,673656200.917,4034432705.495
32Q,496095.0,504628325.11,3330606088.915
32S,108127.0,100948083.324,672289449.82
330,101363.0,136387530.596,1951052852.47
332,152096.0,290800206.745,4032584622.479
333,249808.0,473959177.521,6560355715.738
338,1874.0,0.0,0.0
339,31143.0,106423686.307,1357276146.658
340,4365.0,5695324.488,93000159.993
343,16667.0,57107966.535,876026347.423
345,286.0,298704.591,6110336.172
346,3210.0,11361301.441,218359593.77199998
350,6216.0,11742928.736,167565302.82
351,30185.0,113786784.937,1743945784.555
359,191604.0,520457408.29,7189357132.519
380,236.0,1284391.531,35696688.687
388,50087.0,173632417.195,4858687168.307
717,193727.0,62831171.529,483003114.251
732,6314.0,1975833.0659999999,18690451.929
733,82207.0,38655148.959,281194140.948
734,33204.0,14649419.519,119166908.214
735,60370.0,22452814.801,171431969.616
736,14453.0,8756043.684,58216831.545
737,491914.0,262721787.542,1885579167.983
738,3199288.0,2232647812.118,16444519755.227
739,489464.0,441550368.842,3275291226.066
73C,8369.0,4963763.935,35240287.556
73E,105098.0,62166456.237,416842788.382
73F,174.0,263818.398,1584448.523
73G,225105.0,138732845.872,973712168.621
73H,2543511.0,1888043123.833,13771333762.77
73J,128281.0,145142146.419,1032480260.847
73L,40011.0,27016577.225,202018559.244
73M,10683.0,8664283.064,62912303.798
73Q,3669.0,3070109.354,22090876.041
73R,8206.0,5694039.573,38505595.469000004
73W,912944.0,541263725.252,3865678792.316
744,4038.0,12672541.807,281191842.176
747,1568.0,1330302.53,32518026.327999998
74E,209.0,603433.593,13466051.356
74H,10031.0,45325000.644999996,1047566170.89
752,29011.0,47210506.027,409093312.232
753,29196.0,36169836.25,361508927.22
757,85966.0,67342434.226,646953094.251
75T,9369.0,12481756.92,121366914.82
75W,24760.0,41000682.937,343819514.689
762,2160.0,3563394.885,38441200.553
763,43029.0,91040262.623,1044173913.078
764,16550.0,47506987.248,604735584.726
767,52691.0,32292898.668,447923269.351
76W,39810.0,99785640.344,1143668703.351
772,62538.0,172510114.472,2678249449.675
