    Time [s],   Tracer [-],    Temp. [K],   Pres. [Pa],   H2O [/cm3],     RH_i [-],     RH_w [-],   SO4 [/cm3],  SO4g [/cm3],  SO4l [/cm3],  SO4s [/cm3],   SO4Sat [-],  HNO3 [/cm3],   HNO3Sat[-],   Part[/cm3],     Rad[mum],    Theta1[-],    Theta2[-], 
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1.000000e-04, 1.000000e+00, 5.536500e+02, 3.000000e+04, 5.854089e+16, 1.583572e-05, 6.658885e-05, 4.971407e+10, 4.971407e+10, 0.000000e+00, 0.000000e+00, 5.332275e-08, 2.310986e+03, 3.688213e-94, 1.610766e+05, 2.000000e-02, 0.000000e+00, 0.000000e+00, 
1.057637e-04, 1.000000e+00, 5.536500e+02, 3.000000e+04, 5.854089e+16, 1.583572e-05, 6.658885e-05, 4.971407e+10, 4.971405e+10, 0.000000e+00, 2.005127e+04, 5.332273e-08, 2.310986e+03, 3.688213e-94, 1.610766e+05, 2.000000e-02, 4.953017e-06, 5.881473e-26, 
1.118597e-04, 1.000000e+00, 5.536500e+02, 3.000000e+04, 5.854089e+16, 1.583572e-05, 6.658885e-05, 4.971407e+10, 4.971403e+10, 0.000000e+00, 4.125813e+04, 5.332271e-08, 2.310986e+03, 3.688213e-94, 1.610766e+05, 2.000000e-02, 1.019148e-05, 1.210191e-25, 
1.183070e-04, 1.000000e+00, 5.536500e+02, 3.000000e+04, 5.854089e+16, 1.583572e-05, 6.658885e-05, 4.971407e+10, 4.971401e+10, 0.000000e+00, 6.368717e+04, 5.332269e-08, 2.310986e+03, 3.688213e-94, 1.610766e+05, 2.000000e-02, 1.573185e-05, 1.868083e-25, 
1.251259e-04, 1.000000e+00, 5.536500e+02, 3.000000e+04, 5.854089e+16, 1.583572e-05, 6.658885e-05, 4.971407e+10, 4.971399e+10, 0.000000e+00, 8.740881e+04, 5.332266e-08, 2.310986e+03, 3.688213e-94, 1.610766e+05, 2.000000e-02, 2.159151e-05, 2.563891e-25, 
1.323378e-04, 1.000000e+00, 5.536500e+02, 3.000000e+04, 5.854089e+16, 1.583572e-05, 6.658885e-05, 4.971407e+10, 4.971396e+10, 0.000000e+00, 1.124975e+05, 5.332263e-08, 2.310986e+03, 3.688213e-94, 1.610766e+05, 2.000000e-02, 2.778887e-05, 3.299799e-25, 
1.399654e-04, 1.000000e+00, 5.536500e+02, 3.000000e+04, 5.854089e+16, 1.583572e-05, 6.658885e-05, 4.971407e+10, 4.971394e+10, 0.000000e+00, 1.390321e+05, 5.332261e-08, 2.310986e+03, 3.688213e-94, 1.610766e+05, 2.000000e-02, 3.434337e-05, 4.078118e-25, 
1.480326e-04, 1.000000e+00, 5.536500e+02, 3.000000e+04, 5.854089e+16, 1.583572e-05, 6.658885e-05, 4.971407e+10, 4.971391e+10, 0.000000e+00, 1.670959e+05, 5.332258e-08, 2.310986e+03, 3.688213e-94, 1.610766e+05, 2.000000e-02, 4.127562e-05, 4.901292e-25, 
1.565648e-04, 1.000000e+00, 5.536500e+02, 3.000000e+04, 5.854089e+16, 1.583572e-05, 6.658885e-05, 4.971407e+10, 4.971388e+10, 0.000000e+00, 1.967770e+05, 5.332254e-08, 2.310986e+03, 3.688213e-94, 1.610766e+05, 2.000000e-02, 4.860736e-05, 5.771905e-25, 
1.655888e-04, 1.000000e+00, 5.536500e+02, 3.000000e+04, 5.854089e+16, 1.583572e-05, 6.658885e-05, 4.971407e+10, 4.971385e+10, 0.000000e+00, 2.281685e+05, 5.332251e-08, 2.310986e+03, 3.688213e-94, 1.610766e+05, 2.000000e-02, 5.636162e-05, 6.692690e-25, 
