,F00,EImass,EInum
0,0.5,9.227622495662339e-05,645564124312.6675
1,0.52,8.956182376447084e-05,691654656555.4176
2,0.54,8.68474225723183e-05,737745188798.1676
3,0.5599999999999999,8.413302138016577e-05,783835721040.9174
4,0.58,8.141862018801323e-05,829926253283.6675
5,0.6,7.87042189958607e-05,876016785526.4176
6,0.62,7.598981780370818e-05,922107317769.1676
7,0.64,7.327541661155562e-05,968197850011.9177
8,0.6599999999999999,7.05610154194031e-05,1014288382254.6676
9,0.6799999999999999,6.784661422725058e-05,1060378914497.4176
10,0.7,6.513221303509802e-05,1106469446740.168
